,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,1,20:06:27,1,,30.442,30.442
1,1,3,D. RICCIARDO,Red Bull Racing,1,20:06:29,1,,30.737,30.737
2,2,27,N. HULKENBERG,Renault Sport F1 Team,1,20:06:30,1,,31.032,31.032
3,3,11,S. PEREZ,Sahara Force India F1 Team,1,20:06:31,1,,30.709,30.709
4,4,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,1,20:06:33,1,,30.444,30.444
5,5,30,J. PALMER,Renault Sport F1 Team,1,20:06:33,1,,30.785,30.785
6,6,2,S. VANDOORNE,McLaren Honda,1,20:06:35,1,,31.550,31.550
7,7,31,E. OCON,Sahara Force India F1 Team,1,20:06:36,1,,31.793,31.793
8,8,55,C. SAINZ,Scuderia Toro Rosso,1,20:06:37,1,,32.689,32.689
9,9,20,K. MAGNUSSEN,Haas F1 Team,1,20:06:39,1,,32.701,32.701
10,10,26,D. KVYAT,Scuderia Toro Rosso,1,20:06:40,1,,33.077,33.077
11,11,14,F. ALONSO,McLaren Honda,1,20:06:42,1,,36.900,36.900
12,12,18,L. STROLL,Williams Martini Racing,1,20:06:43,1,,37.403,37.403
13,13,19,F. MASSA,Williams Martini Racing,1,20:06:44,1,,38.464,38.464
14,14,8,R. GROSJEAN,Haas F1 Team,1,20:06:45,1,,39.455,39.455
15,15,9,M. ERICSSON,Sauber F1 Team,1,20:06:48,1,,40.125,40.125
16,16,94,P. WEHRLEIN,Sauber F1 Team,1,20:06:49,1,,40.506,40.506
17,17,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,2,20:09:49,2,,24.368,54.810
18,18,3,D. RICCIARDO,Red Bull Racing,2,20:09:51,2,,24.402,55.139
19,19,27,N. HULKENBERG,Renault Sport F1 Team,2,20:09:52,2,,25.093,56.125
20,20,11,S. PEREZ,Sahara Force India F1 Team,2,20:09:53,2,,25.315,56.024
21,21,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,2,20:09:55,2,,25.367,55.811
22,22,30,J. PALMER,Renault Sport F1 Team,2,20:09:56,2,,26.206,56.991
23,23,2,S. VANDOORNE,McLaren Honda,2,20:09:58,2,,26.553,58.103
24,24,31,E. OCON,Sahara Force India F1 Team,2,20:09:59,2,,26.532,58.325
25,25,55,C. SAINZ,Scuderia Toro Rosso,2,20:10:00,2,,27.452,1:00.141
26,26,20,K. MAGNUSSEN,Haas F1 Team,2,20:10:02,2,,26.903,59.604
28,28,26,D. KVYAT,Scuderia Toro Rosso,2,20:10:04,2,,27.015,1:00.092
