,NO,GAP,TIME,LAP,race_id
0,3,0,1:43.315,1,8
1,6,0.769,1:44.084,1,8
2,26,2.176,1:45.491,1,8
3,11,3.059,1:46.374,1,8
4,27,3.666,1:46.981,1,8
5,55,4.224,1:47.539,1,8
6,19,4.771,1:48.086,1,8
7,5,5.336,1:48.651,1,8
8,22,5.709,1:49.024,1,8
9,77,6.008,1:49.323,1,8
10,9,6.896,1:50.211,1,8
11,33,7.130,1:50.445,1,8
12,14,7.696,1:51.011,1,8
13,20,8.187,1:51.502,1,8
14,94,8.657,1:51.972,1,8
15,30,9.295,1:52.610,1,8
16,21,9.878,1:53.193,1,8
17,88,10.501,1:53.816,1,8
18,8,PIT,1:59.728,1,8
19,7,PIT,2:04.621,1,8
20,44,PIT,2:10.729,1,8
21,12,PIT,2:50.226,1,8
22,3,0,1:42.309,2,8
23,6,0.753,1:42.293,2,8
24,26,2.885,1:43.018,2,8
25,11,4.079,1:43.329,2,8
26,27,5.035,1:43.678,2,8
27,55,5.763,1:43.848,2,8
28,5,6.573,1:43.546,2,8
29,22,7.380,1:43.980,2,8
30,19,7.969,1:45.507,2,8
31,77,8.278,1:44.579,2,8
32,33,8.805,1:43.984,2,8
33,9,9.696,1:45.109,2,8
34,6,0,1:42.469,3,8
35,26,3.171,1:43.508,3,8
36,11,4.568,1:43.711,3,8
37,27,6.105,1:44.292,3,8
38,55,6.403,1:43.862,3,8
39,5,6.886,1:43.535,3,8
40,22,7.774,1:43.616,3,8
41,77,8.922,1:43.866,3,8
42,19,9.367,1:44.620,3,8
43,33,10.146,1:44.563,3,8
44,9,11.433,1:44.959,3,8
45,14,12.009,1:44.830,3,8
46,20,12.736,1:44.911,3,8
47,3,PIT,1:56.349,3,8
48,94,14.016,1:45.534,3,8
49,30,15.754,1:46.105,3,8
50,21,16.220,1:46.284,3,8
51,88,16.865,1:46.138,3,8
52,7,45.000,1:41.578,3,8
53,44,49.214,1:41.293,3,8
54,8,71.918,1:43.090,3,8
55,6,0,1:50.507,4,8
56,12,1 LAP,1:53.288,4,8
57,26,PIT,1:55.312,4,8
58,11,PIT,1:57.617,4,8
59,19,15.364,1:56.504,4,8
60,5,PIT,1:59.537,4,8
61,27,PIT,2:00.703,4,8
62,55,PIT,2:00.821,4,8
63,22,PIT,1:59.946,4,8
64,77,PIT,1:59.463,4,8
65,14,18.286,1:56.784,4,8
66,33,PIT,1:59.933,4,8
67,94,20.977,1:57.468,4,8
68,9,PIT,2:00.682,4,8
69,21,23.576,1:57.863,4,8
70,20,PIT,2:01.499,4,8
71,30,24.390,1:59.143,4,8
72,88,26.365,2:00.007,4,8
73,3,42.564,2:19.944,4,8
74,7,58.340,2:03.847,4,8
75,44,65.042,2:06.335,4,8
76,8,93.787,2:12.376,4,8
77,6,0,2:24.578,5,8
78,12,1 LAP,2:24.578,5,8
79,19,6.338,2:15.552,5,8
80,14,10.355,2:16.647,5,8
81,94,13.259,2:16.860,5,8
82,21,14.599,2:15.601,5,8
83,26,15.364,2:31.966,5,8
84,30,16.636,2:16.824,5,8
85,88,17.750,2:15.963,5,8
86,11,18.610,2:31.510,5,8
87,77,23.643,2:30.343,5,8
88,22,24.968,2:32.333,5,8
89,55,25.731,2:33.592,5,8
90,27,26.510,2:34.787,5,8
91,9,28.040,2:31.010,5,8
92,5,29.695,2:38.357,5,8
93,20,31.147,2:31.997,5,8
94,3,33.430,2:15.444,5,8
95,33,33.795,2:38.801,5,8
96,7,49.401,2:15.639,5,8
97,44,PIT,2:18.201,5,8
98,8,84.012,2:14.803,5,8
99,6,0,2:26.533,6,8
100,12,1 LAP,2:26.598,6,8
101,19,2.057,2:22.252,6,8
102,14,2.738,2:18.916,6,8
103,94,3.703,2:16.977,6,8
104,21,4.823,2:16.757,6,8
105,26,6.023,2:17.192,6,8
106,30,6.840,2:16.737,6,8
107,88,7.969,2:16.752,6,8
108,11,8.836,2:16.759,6,8
109,77,9.761,2:12.651,6,8
110,44,PIT,2:05.842,6,8
111,6,0,2:26.969,7,8
112,19,0.991,2:25.903,7,8
113,14,1.743,2:25.974,7,8
114,94,2.764,2:26.030,7,8
115,21,3.616,2:25.762,7,8
116,26,4.952,2:25.898,7,8
117,30,5.993,2:26.122,7,8
