,NO,STOP,race_id,year,race_in_year,track
0,2,1,21,2017,14,Kuala Lumpur
1,3,1,21,2017,14,Kuala Lumpur
2,5,1,21,2017,14,Kuala Lumpur
3,8,2,21,2017,14,Kuala Lumpur
4,9,1,21,2017,14,Kuala Lumpur
5,10,1,21,2017,14,Kuala Lumpur
6,11,1,21,2017,14,Kuala Lumpur
7,14,1,21,2017,14,Kuala Lumpur
8,18,1,21,2017,14,Kuala Lumpur
9,19,1,21,2017,14,Kuala Lumpur
10,20,1,21,2017,14,Kuala Lumpur
11,27,2,21,2017,14,Kuala Lumpur
12,30,1,21,2017,14,Kuala Lumpur
13,31,1,21,2017,14,Kuala Lumpur
14,33,1,21,2017,14,Kuala Lumpur
15,44,1,21,2017,14,Kuala Lumpur
16,77,1,21,2017,14,Kuala Lumpur
17,94,1,21,2017,14,Kuala Lumpur
