,Driver,stint_1,stint_2,stint_3,stint_4,stint_5,NO
0,Max Verstappen,Soft,Medium,Medium,,,33
1,Kimi Raikkonen,Soft,Medium,Medium,,,7
2,Sebastian Vettel,Soft,Medium,Soft,Medium,,5
3,Daniel Ricciardo,Soft,Medium,Soft,Medium,Soft,3
4,Valtteri Bottas,Soft,Medium,Medium,,,77
5,Carlos Sainz Jnr,Soft,Medium,Medium,,,55
6,Sergio Perez,Soft,Medium,Medium,,,11
7,Felipe Massa,Soft,Medium,Soft,Medium,,19
8,Jenson Button,Soft,Medium,Medium,,,22
9,Daniil Kvyat,Soft,Medium,Medium,Soft,,26
10,Esteban Gutierrez,Soft,Soft,Medium,,,21
11,Marcus Ericsson,Soft,Soft,Medium,Medium,,9
12,Jolyon Palmer,Soft,Medium,Hard,,,30
13,Felipe Nasr,Soft,Medium,Medium,,,12
14,Kevin Magnussen,Soft,Medium,Hard,Soft,,20
15,Pascal Wehrlein,Soft,Medium,Medium,,,94
16,Rio Haryanto,Medium,Medium,Soft,,,88
17,Romain Grosjean,Soft,Soft,Medium,Soft,,8
18,Fernando Alonso,Soft,Medium,Medium,,,14
19,Nico Hulkenberg,Soft,Medium,,,,27
20,Lewis Hamilton,Soft,,,,,44
21,Nico Rosberg,Soft,,,,,6
