,Driver,stint_1,stint_2,stint_3,NO
0,Sebastian Vettel,Super soft,Soft,,5
1,Valtteri Bottas,Super soft,Soft,,77
2,Kimi Raikkonen,Super soft,Soft,,7
3,Lewis Hamilton,Soft,Super soft,,44
4,Max Verstappen,Super soft,Soft,Super soft,33
5,Daniel Ricciardo,Soft,Soft,Super soft,3
6,Felipe Massa,Super soft,Soft,,19
7,Fernando Alonso,Super soft,Soft,,14
8,Sergio Perez,Super soft,Soft,,11
9,Nico Hulkenberg,Super soft,Soft,,27
10,Carlos Sainz Jnr,Super soft,Soft,,55
11,Pierre Gasly,Soft,Super soft,,10
12,Marcus Ericsson,Soft,Super soft,,9
13,Pascal Wehrlein,Super soft,Soft,,94
14,Romain Grosjean,Super soft,Soft,Super soft,8
15,Lance Stroll,Super soft,Soft,Super soft,18
16,Brendon Hartley,Super soft,Soft,,28
17,Brendon Hartley,Super soft,Soft,,39
18,Esteban Ocon,Super soft,,,31
19,Stoffel Vandoorne,Super soft,,,2
20,Stoffel Vandoorne,Super soft,,,47
21,Kevin Magnussen,Super soft,,,20
