,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Soft,Medium,Soft,,44
1,Sebastian Vettel,Soft,Soft,Medium,,5
2,Daniel Ricciardo,Soft,Medium,Soft,,3
3,Sergio Perez,Soft,Soft,Medium,,11
4,Esteban Ocon,Soft,Soft,Medium,,31
5,Nico Hulkenberg,Soft,Soft,Medium,,27
6,Pascal Wehrlein,Soft,Medium,,,94
7,Carlos Sainz Jnr,Soft,Soft,Medium,,55
8,Daniil Kvyat,Medium,Soft,Soft,,26
9,Romain Grosjean,Soft,Soft,Medium,,8
10,Marcus Ericsson,Soft,Soft,Medium,,9
11,Fernando Alonso,Soft,Soft,Medium,Soft,14
12,Felipe Massa,Soft,Soft,Soft,Medium,19
13,Kevin Magnussen,Soft,Soft,Medium,Soft,20
14,Jolyon Palmer,Medium,Soft,Soft,Soft,30
15,Lance Stroll,Soft,Soft,Medium,,18
16,Valtteri Bottas,Soft,Medium,,,77
17,Stoffel Vandoorne,Medium,Soft,,,2
18,Stoffel Vandoorne,Medium,Soft,,,47
19,Max Verstappen,Soft,,,,33
20,Kimi Raikkonen,,,,,7
