,Driver,stint_1,stint_2,stint_3,stint_4,stint_5,stint_6,NO
0,Nico Rosberg,Soft,Soft,Medium,,,,6
1,Sebastian Vettel,Super soft,Super soft,Soft,Soft,,,5
2,Daniil Kvyat,Super soft,Soft,Soft,Medium,,,26
3,Daniel Ricciardo,Super soft,Soft,Soft,Medium,,,3
4,Kimi Raikkonen,Super soft,Soft,Medium,Soft,,,7
5,Felipe Massa,Soft,Soft,Medium,,,,19
6,Lewis Hamilton,Soft,Soft,Super soft,Soft,Soft,Medium,44
7,Max Verstappen,Super soft,Soft,Medium,Soft,,,33
8,Carlos Sainz Jnr,Super soft,Soft,Soft,Medium,,,55
9,Valtteri Bottas,Super soft,Soft,Soft,Medium,,,77
10,Sergio Perez,Super soft,Soft,Soft,Medium,,,11
11,Fernando Alonso,Soft,Medium,Medium,,,,14
12,Jenson Button,Super soft,Medium,Medium,Super soft,,,22
13,Esteban Gutierrez,Soft,Soft,Super soft,Super soft,,,21
14,Nico Hulkenberg,Super soft,Soft,Soft,Medium,Super soft,,27
15,Marcus Ericsson,Soft,Medium,Medium,,,,9
16,Kevin Magnussen,Super soft,Soft,Soft,Medium,,,20
17,Pascal Wehrlein,Soft,Soft,Soft,Super soft,,,94
18,Romain Grosjean,Soft,Soft,Soft,Super soft,Super soft,,8
19,Felipe Nasr,Soft,Medium,Medium,Soft,,,12
20,Rio Haryanto,Soft,Soft,Soft,Medium,,,88
21,Jolyon Palmer,Soft,Super soft,Soft,Medium,,,30
