NO,LAP,GAP,TIME,race_id,cumtime,progress,temp_lap,5,77,7,33,14,19,11,27,55,10,9,28,18,94,8,44,3,DRIVER,ENTRANT,TIME OF DAY,STOP,DURATION,TOTAL TIME,d_stop,target,laps_since_pit,stop_count,stint
5,1,PIT,112.494,25.0,112.494,0.014285714285714285,1.0,0.0,-1.1659999999999968,-3.1200000000000045,-4.081000000000003,-5.875,-6.992999999999995,-8.638999999999996,-10.215999999999994,-11.563999999999993,-13.566000000000003,-16.128000000000014,-17.211000000000013,-18.450999999999993,-19.209000000000003,-20.329000000000008,-22.433999999999997,-23.652000000000015,S. VETTEL,Scuderia Ferrari,14:04:42,1.0,19.097,19.097,True,,1,1.0,1.0
77,1,PIT,113.66,25.0,113.66,0.014285714285714285,1.0,1.1659999999999968,0.0,-1.9540000000000077,-2.9150000000000063,-4.709000000000003,-5.826999999999998,-7.472999999999999,-9.049999999999997,-10.397999999999996,-12.400000000000006,-14.962000000000018,-16.045000000000016,-17.284999999999997,-18.043000000000006,-19.16300000000001,-21.268,-22.48600000000002,V. BOTTAS,Mercedes AMG Petronas F1 Team,14:04:43,1.0,18.717,18.717,True,,1,1.0,1.0
7,1,PIT,115.614,25.0,115.614,0.014285714285714285,1.0,3.1200000000000045,1.9540000000000077,0.0,-0.9609999999999985,-2.7549999999999955,-3.8729999999999905,-5.518999999999991,-7.095999999999989,-8.443999999999988,-10.445999999999998,-13.00800000000001,-14.091000000000008,-15.330999999999989,-16.089,-17.209000000000003,-19.313999999999993,-20.53200000000001,K. RAIKKONEN,Scuderia Ferrari,14:04:45,1.0,19.433,19.433,True,,1,1.0,1.0
33,1,PIT,116.575,25.0,116.575,0.014285714285714285,1.0,4.081000000000003,2.9150000000000063,0.9609999999999985,0.0,-1.793999999999997,-2.911999999999992,-4.557999999999993,-6.134999999999991,-7.48299999999999,-9.485,-12.047000000000011,-13.13000000000001,-14.36999999999999,-15.128,-16.248000000000005,-18.352999999999994,-19.571000000000012,M. VERSTAPPEN,Red Bull Racing,14:04:47,1.0,18.827,18.827,True,,1,1.0,1.0
14,1,PIT,118.369,25.0,118.369,0.014285714285714285,1.0,5.875,4.709000000000003,2.7549999999999955,1.793999999999997,0.0,-1.117999999999995,-2.763999999999996,-4.340999999999994,-5.688999999999993,-7.6910000000000025,-10.253000000000014,-11.336000000000013,-12.575999999999993,-13.334000000000003,-14.454000000000008,-16.558999999999997,-17.777000000000015,F. ALONSO,McLaren Honda,14:04:49,1.0,18.487000000000002,18.487,True,,1,1.0,1.0
19,1,PIT,119.487,25.0,119.487,0.014285714285714285,1.0,6.992999999999995,5.826999999999998,3.8729999999999905,2.911999999999992,1.117999999999995,0.0,-1.6460000000000008,-3.222999999999999,-4.570999999999998,-6.5730000000000075,-9.13500000000002,-10.218000000000018,-11.457999999999998,-12.216000000000008,-13.336000000000013,-15.441000000000003,-16.65900000000002,F. MASSA,Williams Martini Racing,14:04:50,1.0,18.238,18.238,True,,1,1.0,1.0
11,1,PIT,121.133,25.0,121.133,0.014285714285714285,1.0,8.638999999999996,7.472999999999999,5.518999999999991,4.557999999999993,2.763999999999996,1.6460000000000008,0.0,-1.5769999999999982,-2.924999999999997,-4.927000000000007,-7.4890000000000185,-8.572000000000017,-9.811999999999998,-10.570000000000007,-11.690000000000012,-13.795000000000002,-15.01300000000002,S. PEREZ,Sahara Force India F1 Team,14:04:51,1.0,18.417,18.417,True,,1,1.0,1.0
27,1,PIT,122.71,25.0,122.71,0.014285714285714285,1.0,10.215999999999994,9.049999999999997,7.095999999999989,6.134999999999991,4.340999999999994,3.222999999999999,1.5769999999999982,0.0,-1.347999999999999,-3.3500000000000085,-5.91200000000002,-6.995000000000019,-8.235,-8.99300000000001,-10.113000000000014,-12.218000000000004,-13.436000000000021,N. HULKENBERG,Renault Sport F1 Team,14:04:52,1.0,18.927,18.927,True,,1,1.0,1.0
55,1,PIT,124.05799999999999,25.0,124.05799999999999,0.014285714285714285,1.0,11.563999999999993,10.397999999999996,8.443999999999988,7.48299999999999,5.688999999999993,4.570999999999998,2.924999999999997,1.347999999999999,0.0,-2.0020000000000095,-4.564000000000021,-5.64700000000002,-6.8870000000000005,-7.64500000000001,-8.765000000000015,-10.870000000000005,-12.088000000000022,C. SAINZ,Renault Sport F1 Team,14:04:54,1.0,19.208,19.208,True,,1,1.0,1.0
10,1,PIT,126.06,25.0,126.06,0.014285714285714285,1.0,13.566000000000003,12.400000000000006,10.445999999999998,9.485,7.6910000000000025,6.5730000000000075,4.927000000000007,3.3500000000000085,2.0020000000000095,0.0,-2.562000000000012,-3.6450000000000102,-4.884999999999991,-5.643000000000001,-6.763000000000005,-8.867999999999995,-10.086000000000013,P. GASLY,Scuderia Toro Rosso,14:04:55,1.0,19.43,19.430,True,,1,1.0,1.0
