,NO,GAP,TIME,LAP
0,7,1.514,1:38.430,1
1,6,2.400,1:39.316,1
2,33,3.158,1:40.074,1
3,19,4.108,1:41.024,1
4,44,4.373,1:41.289,1
5,55,5.149,1:42.065,1
6,27,6.518,1:43.434,1
7,3,6.860,1:43.776,1
8,14,7.631,1:44.547,1
9,11,8.163,1:45.079,1
10,22,8.593,1:45.509,1
11,30,9.339,1:46.255,1
12,94,10.062,1:46.978,1
13,9,10.636,1:47.552,1
14,12,11.156,1:48.072,1
15,77,11.413,1:48.329,1
16,8,12.463,1:49.379,1
17,88,13.066,1:49.982,1
18,21,16.403,1:53.319,1
19,20,PIT,3:00.423,1
20,7,1.741,1:31.891,2
21,6,2.773,1:32.037,2
22,33,3.819,1:32.325,2
23,19,5.371,1:32.927,2
24,44,6.110,1:33.401,2
25,55,7.015,1:33.530,2
26,27,8.770,1:33.916,2
27,3,9.466,1:34.270,2
28,14,10.754,1:34.787,2
29,11,11.514,1:35.015,2
30,22,12.071,1:35.142,2
31,30,12.965,1:35.290,2
32,94,13.788,1:35.390,2
33,9,14.274,1:35.302,2
34,12,14.807,1:35.315,2
35,77,15.185,1:35.436,2
36,8,16.487,1:35.688,2
37,88,17.295,1:35.893,2
38,21,27.858,1:43.119,2
39,,,,2
40,7,1.915,1:32.341,3
41,6,3.353,1:32.747,3
42,33,4.546,1:32.894,3
43,20,1 LAP,1:46.207,3
44,19,6.513,1:33.309,3
45,44,7.035,1:33.092,3
46,55,7.800,1:32.952,3
47,27,10.779,1:34.176,3
48,3,11.249,1:33.950,3
49,14,12.839,1:34.252,3
50,11,13.659,1:34.312,3
51,22,14.837,1:34.933,3
52,30,15.363,1:34.565,3
53,94,16.333,1:34.712,3
54,9,17.116,1:35.009,3
55,12,17.905,1:35.265,3
56,77,18.332,1:35.314,3
57,8,19.478,1:35.158,3
58,88,20.314,1:35.186,3
59,21,28.813,1:33.122,3
60,7,2.222,1:32.321,4
61,6,3.480,1:32.141,4
62,33,5.070,1:32.538,4
63,44,7.083,1:32.062,4
64,19,9.002,1:34.503,4
65,55,9.439,1:33.653,4
66,20,1 LAP,1:37.229,4
