,NO,GAP,TIME,NO.1,GAP.1,TIME.1,NO.2,GAP.2,TIME.2,NO.3,GAP.3,TIME.3,NO.4,GAP.4,TIME.4
0,5,,1:40.829,5,,1:41.056,5,,1:40.654,5,,1:40.668,5,,1:40.533
1,44,1.313,1:42.142,44,1.202,1:40.945,44,1.328,1:40.780,44,1.191,1:40.531,44,1.045,1:40.387
2,77,2.528,1:43.357,77,3.732,1:42.260,77,4.172,1:41.094,77,5.633,1:42.129,77,6.450,1:41.350
3,3,2.938,1:43.767,3,4.392,1:42.510,3,4.796,1:41.058,3,6.211,1:42.083,3,7.089,1:41.411
4,31,4.132,1:44.961,7,6.129,1:42.384,7,6.415,1:40.940,7,7.157,1:41.410,7,8.277,1:41.653
5,7,4.801,1:45.630,31,7.083,1:44.007,31,8.920,1:42.491,31,10.206,1:41.954,31,11.708,1:42.035
6,14,5.685,1:46.514,14,8.264,1:43.635,14,10.195,1:42.585,14,11.950,1:42.423,14,14.153,1:42.736
7,55,6.475,1:47.304,55,9.291,1:43.872,55,11.408,1:42.771,55,13.223,1:42.483,55,15.483,1:42.793
8,19,7.137,1:47.966,19,10.094,1:44.013,19,12.556,1:43.116,33,14.617,1:41.988,33,16.331,1:42.247
9,11,7.783,1:48.612,11,10.845,1:44.118,33,13.297,1:42.457,19,15.683,1:43.795,19,17.945,1:42.795
10,26,8.324,1:49.153,33,11.494,1:43.369,11,14.174,1:43.983,11,16.361,1:42.855,11,18.669,1:42.841
11,8,9.023,1:49.852,26,12.266,1:44.998,26,14.846,1:43.234,26,17.418,1:43.240,26,19.479,1:42.594
12,33,9.181,1:50.010,8,13.297,1:45.330,8,15.680,1:43.037,8,18.367,1:43.355,8,20.944,1:43.110
13,9,10.333,1:51.162,9,14.131,1:44.854,9,18.322,1:44.845,18,21.108,1:42.938,18,24.378,1:43.803
14,18,11.029,1:51.858,18,14.939,1:44.966,18,18.838,1:44.553,2,22.033,1:43.311,2,25.137,1:43.637
15,27,12.003,1:52.832,27,15.217,1:44.270,2,19.390,1:43.708,9,22.861,1:45.207,9,26.259,1:43.931
16,2,13.315,1:54.144,2,16.336,1:44.077,27,PIT,1:45.292,39,23.542,1:44.045,39,27.050,1:44.041
17,20,PIT,1:54.387,39,17.163,1:43.936,39,20.165,1:43.656,20,38.671,1:42.303,20,40.999,1:42.861
18,94,14.155,1:54.984,94,20.172,1:47.073,94,PIT,1:49.362,94,61.920,2:13.708,94,PIT,1:47.871
19,39,14.283,1:55.112,20,35.710,2:03.208,20,37.036,1:41.980,,,,,,
20,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
21,44,,1:40.770,44,,1:40.783,44,,1:40.520,44,,1:41.098,44,,1:40.550
22,5,0.888,1:42.703,5,1.204,1:41.099,5,1.864,1:41.180,5,1.912,1:41.146,5,2.315,1:40.953
23,77,6.130,1:41.495,77,6.586,1:41.239,77,6.859,1:40.793,77,6.712,1:40.951,77,7.011,1:40.849
24,3,7.083,1:41.809,3,7.436,1:41.136,3,8.051,1:41.135,3,8.337,1:41.384,3,9.035,1:41.248
25,7,8.228,1:41.766,7,8.362,1:40.917,7,9.023,1:41.181,7,9.153,1:41.228,7,9.900,1:41.297
26,31,12.290,1:42.397,31,13.645,1:42.138,31,15.238,1:42.113,31,16.460,1:42.320,33,18.127,1:41.420
27,14,14.883,1:42.545,33,16.452,1:41.331,33,16.924,1:40.992,33,17.257,1:41.431,31,19.652,1:43.742
