,NO,GAP,TIME,NO GAP,Unnamed: 4,TIME.1,NO.1,GAP.1,TIME.2,NO.2,GAP.2,TIME.3,NO.3,GAP.3,TIME.4
0,3,,1:43.315,3,,1:42.309,6,,1:42.469,6,,1:50.507,6,,2:24.578
1,6,0.769,1:44.084,6 0.753,,1:42.293,26,3.171,1:43.508,12,1 LAP,1:53.288,12,1 LAP,2:24.578
2,26,2.176,1:45.491,26 2.885,,1:43.018,11,4.568,1:43.711,26,PIT,1:55.312,19,6.338,2:15.552
3,11,3.059,1:46.374,11 4.079,,1:43.329,27,6.105,1:44.292,11,PIT,1:57.617,14,10.355,2:16.647
4,27,3.666,1:46.981,27 5.035,,1:43.678,55,6.403,1:43.862,19,15.364,1:56.504,94,13.259,2:16.860
5,55,4.224,1:47.539,55 5.763,,1:43.848,5,6.886,1:43.535,5,PIT,1:59.537,21,14.599,2:15.601
6,19,4.771,1:48.086,5 6.573,,1:43.546,22,7.774,1:43.616,27,PIT,2:00.703,26,15.364,2:31.966
7,5,5.336,1:48.651,22 7.380,,1:43.980,77,8.922,1:43.866,55,PIT,2:00.821,30,16.636,2:16.824
8,22,5.709,1:49.024,19 7.969,,1:45.507,19,9.367,1:44.620,22,PIT,1:59.946,88,17.750,2:15.963
9,77,6.008,1:49.323,77 8.278,,1:44.579,33,10.146,1:44.563,77,PIT,1:59.463,11,18.610,2:31.510
10,9,6.896,1:50.211,33 8.805,,1:43.984,9,11.433,1:44.959,14,18.286,1:56.784,77,23.643,2:30.343
11,33,7.130,1:50.445,9 9.696,,1:45.109,14,12.009,1:44.830,33,PIT,1:59.933,22,24.968,2:32.333
12,14,7.696,1:51.011,14 10.401,,1:45.014,20,12.736,1:44.911,94,20.977,1:57.468,55,25.731,2:33.592
13,20,8.187,1:51.502,20 11.047,,1:45.169,3,PIT,1:56.349,9,PIT,2:00.682,27,26.510,2:34.787
14,94,8.657,1:51.972,94 11.704,,1:45.356,94,14.016,1:45.534,21,23.576,1:57.863,9,28.040,2:31.010
15,30,9.295,1:52.610,30 12.871,,1:45.885,30,15.754,1:46.105,20,PIT,2:01.499,5,29.695,2:38.357
16,21,9.878,1:53.193,21 13.158,,1:45.589,21,16.220,1:46.284,30,24.390,1:59.143,20,31.147,2:31.997
17,88,10.501,1:53.816,88 13.949,,1:45.757,88,16.865,1:46.138,88,26.365,2:00.007,3,33.430,2:15.444
18,8,PIT,1:59.728,7 46.644,,2:07.647,7,45.000,1:41.578,3,42.564,2:19.944,33,33.795,2:38.801
19,7,PIT,2:04.621,44 51.143,,2:06.038,44,49.214,1:41.293,7,58.340,2:03.847,7,49.401,2:15.639
20,44,PIT,2:10.729,8 72.050,,2:37.946,8,71.918,1:43.090,44,65.042,2:06.335,44,PIT,2:18.201
21,12,PIT,2:50.226,12101.216,,2:16.614,,,,8,93.787,2:12.376,8,84.012,2:14.803
22,NO GAP,,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
23,6,,2:26.533,6,,2:26.969,6,,2:33.052,6,,1:41.783,6,,1:41.581
24,12 1 LAP,,2:26.598,19,0.991,2:25.903,19,0.678,2:32.739,19,2.225,1:43.330,19,3.774,1:43.130
25,19 2.057,,2:22.252,14,1.743,2:25.974,14,1.484,2:32.793,26,3.944,1:42.759,26,5.341,1:42.978
26,14 2.738,,2:18.916,94,2.764,2:26.030,94,1.783,2:32.071,14,4.482,1:44.781,14,7.134,1:44.233
27,94 3.703,,2:16.977,21,3.616,2:25.762,21,2.586,2:32.022,94,5.805,1:45.805,94,9.212,1:44.988
28,21 4.823,,2:16.757,26,4.952,2:25.898,26,2.968,2:31.068,21,6.316,1:45.513,21,9.723,1:44.988
29,26 6.023,,2:17.192,30,5.993,2:26.122,30,3.581,2:30.640,11,6.789,1:44.105,11,10.022,1:44.814
30,30 6.840,,2:16.737,88,6.729,2:25.729,11,4.467,2:29.984,77,7.265,1:44.327,77,10.448,1:44.764
31,88 7.969,,2:16.752,11,7.535,2:25.668,88,4.508,2:30.831,30,8.116,1:46.318,5,10.838,1:43.517
32,11 8.836,,2:16.759,77,8.698,2:25.906,77,4.721,2:29.075,22,8.319,1:44.662,22,11.521,1:44.783
33,77 9.761,,2:12.651,22,9.825,2:25.399,22,5.440,2:28.667,55,8.587,1:44.330,55,12.609,1:45.603
34,22 11.395,,2:12.960,55,10.494,2:25.070,55,6.040,2:28.598,5,8.902,1:43.130,30,13.801,1:47.266
35,55 12.393,,2:13.195,27,11.095,2:24.937,27,6.305,2:28.262,27,9.485,1:44.963,27,14.273,1:46.369
36,27 13.127,,2:13.150,9,12.998,2:25.166,9,7.292,2:27.346,88,10.972,1:48.247,3,14.405,1:44.923
37,9 14.801,,2:13.294,5,15.893,2:26.446,5,7.555,2:24.714,3,11.063,1:44.397,88,15.417,1:46.026
38,5 16.416,,2:13.254,20,17.237,2:26.994,20,8.111,2:23.926,9,11.390,1:45.881,44,15.781,1:44.596
39,20 17.212,,2:12.598,3,17.956,2:26.258,3,8.449,2:23.545,20,12.267,1:45.939,7,16.267,1:45.433
40,3 18.667,,2:11.770,33,18.860,2:26.597,33,8.782,2:22.974,7,12.415,1:44.834,9,16.659,1:46.850
41,33 19.232,,2:11.970,7,20.131,2:25.818,7,9.364,2:22.285,44,12.766,1:44.352,33,17.251,1:45.455
42,7 21.282,,1:58.414,8,21.079,2:01.374,8,10.001,2:21.974,33,13.377,1:46.378,20,17.842,1:47.156
43,44 PIT,,2:05.842,44,21.913,2:10.908,44,10.197,2:21.336,8,13.879,1:45.661,8,18.572,1:46.274
44,8 46.674,,1:49.195,12,72.249,1:44.558,12,23.826,1:44.629,12,27.101,1:45.058,12,31.104,1:45.584
45,12114.660,,1:53.820,,,,,,,,,,,,
46,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
47,6,,1:41.930,6,,1:42.021,6,,1:42.467,6,,1:42.375,6,,1:42.439
48,19,5.096,1:43.252,26,6.918,1:42.782,26,7.510,1:43.059,26,8.226,1:43.091,26,8.947,1:43.160
49,26,6.157,1:42.746,19,7.477,1:44.402,19,9.409,1:44.399,19,11.282,1:44.248,19,12.923,1:44.080
50,14,9.439,1:44.235,14,11.542,1:44.124,14,13.588,1:44.513,5,15.473,1:43.534,5,15.970,1:42.936
51,94,12.364,1:45.082,11,13.524,1:42.896,5,14.314,1:42.727,14,16.181,1:44.968,14,18.717,1:44.975
52,11,12.649,1:44.557,5,14.054,1:42.741,11,15.143,1:44.086,11,16.756,1:43.988,11,19.002,1:44.685
53,21,13.145,1:45.352,77,16.088,1:44.346,77,17.274,1:43.653,77,18.284,1:43.385,77,19.515,1:43.670
54,5,13.334,1:44.426,94,16.736,1:46.393,22,19.622,1:44.732,22,21.310,1:44.063,55,23.174,1:43.734
55,77,13.763,1:45.245,22,17.357,1:44.862,94,20.166,1:45.897,55,21.879,1:43.915,22,24.903,1:46.032
56,22,14.516,1:44.925,21,18.042,1:46.918,55,20.339,1:44.520,3,23.607,1:45.085,3,25.035,1:43.867
57,55,14.906,1:44.227,55,18.286,1:45.401,3,20.897,1:44.537,44,24.422,1:45.325,44,25.772,1:43.789
58,3,15.891,1:43.416,3,18.827,1:44.957,44,21.472,1:44.725,94,25.396,1:47.605,27,27.430,1:44.259
59,27,16.627,1:44.284,44,19.214,1:43.772,27,22.441,1:45.245,27,25.610,1:45.544,33,29.430,1:44.961
60,44,17.463,1:43.612,27,19.663,1:45.057,21,22.928,1:47.353,21,26.650,1:46.097,21,31.043,1:46.832
61,7,18.726,1:44.389,7,20.625,1:43.920,7,23.259,1:45.101,33,26.908,1:45.552,9,33.345,1:45.136
62,30,19.559,1:47.688,33,22.007,1:44.118,33,23.731,1:44.191,9,30.648,1:45.234,20,34.751,1:45.199
63,33,19.910,1:44.589,30,24.301,1:46.763,9,27.789,1:45.233,7,PIT,1:50.090,94,PIT,1:52.394
64,88,20.464,1:46.977,88,24.981,1:46.538,30,28.307,1:46.473,20,31.991,1:45.421,88,37.880,1:46.257
65,9,21.202,1:46.473,9,25.023,1:45.842,20,28.945,1:46.036,88,34.062,1:46.271,8,38.116,1:46.178
