,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,88,R. HARYANTO,Manor Racing MRT,1,17:05:57,1,,33.405,33.405
1,55,C. SAINZ,Scuderia Toro Rosso,4,17:11:34,1,,22.028,22.028
2,33,M. VERSTAPPEN,Red Bull Racing,5,17:13:24,1,,20.069,20.069
3,14,F. ALONSO,McLaren Honda,5,17:13:24,1,,20.282,20.282
4,26,D. KVYAT,Scuderia Toro Rosso,5,17:13:37,1,,24.802,24.802
5,3,D. RICCIARDO,Red Bull Racing,6,17:15:04,1,,19.840,19.840
6,22,J. BUTTON,McLaren Honda,6,17:15:21,1,,20.185,20.185
7,20,K. MAGNUSSEN,Renault Sport F1 Team,6,17:15:24,1,,20.772,20.772
8,19,F. MASSA,Williams Martini Racing,7,17:17:02,1,,19.445,19.445
9,12,F. NASR,Sauber F1 Team,7,17:17:13,1,,20.670,20.670
10,7,K. RAIKKONEN,Scuderia Ferrari,8,17:18:49,1,,20.593,20.593
11,21,E. GUTIERREZ,Haas F1 Team,8,17:19:20,1,,29.227,29.227
12,8,R. GROSJEAN,Haas F1 Team,10,17:22:51,1,,21.132,21.132
13,30,J. PALMER,Renault Sport F1 Team,11,17:24:54,1,,20.965,20.965
14,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,15,17:31:52,1,,20.108,20.108
15,11,S. PEREZ,Sahara Force India F1 Team,16,17:33:39,1,,20.614,20.614
16,9,M. ERICSSON,Sauber F1 Team,16,17:34:12,1,,21.083,21.083
17,77,V. BOTTAS,Williams Martini Racing,19,17:39:20,1,,19.732,19.732
18,5,S. VETTEL,Scuderia Ferrari,20,17:40:51,1,,20.422,20.422
19,27,N. HULKENBERG,Sahara Force India F1 Team,20,17:41:18,1,,20.347,20.347
20,33,M. VERSTAPPEN,Red Bull Racing,20,17:41:33,2,,22.497,42.566
21,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,21,17:42:18,1,,20.058,20.058
22,3,D. RICCIARDO,Red Bull Racing,22,17:45:00,2,,20.155,39.995
23,14,F. ALONSO,McLaren Honda,24,17:48:59,2,,20.654,40.936
24,12,F. NASR,Sauber F1 Team,24,17:49:03,2,,20.713,41.383
25,22,J. BUTTON,McLaren Honda,25,17:50:53,2,,20.640,40.825
26,9,M. ERICSSON,Sauber F1 Team,25,17:51:13,2,,20.559,41.642
27,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
28,8,R. GROSJEAN,Haas F1 Team,26,17:52:45,2,,23.588,44.720
29,55,C. SAINZ,Scuderia Toro Rosso,27,17:54:32,2,,21.030,43.058
30,19,F. MASSA,Williams Martini Racing,28,17:56:01,2,,19.858,39.303
31,94,P. WEHRLEIN,Manor Racing MRT,29,17:58:28,1,,26.187,26.187
32,21,E. GUTIERREZ,Haas F1 Team,29,17:58:37,2,,21.533,50.760
33,30,J. PALMER,Renault Sport F1 Team,31,18:02:14,2,,20.561,41.526
