Nico Rosberg,Super soft (21),Soft (30),
Sebastian Vettel,Super soft (20),Soft (31),
Sergio Perez,Super soft (16),Soft (35),
Kimi Raikkonen,Super soft (8),Soft (43),
Lewis Hamilton,Super soft (15),Soft (36),
Valtteri Bottas,Super soft (19),Soft (32),
Daniel Ricciardo,Super soft (6),Soft (16),Medium (29)
Max Verstappen,Super soft (5),Soft (15),Medium (31)
Nico Hulkenberg,Soft (20),Super soft (31),
Felipe Massa,Super soft (7),Soft (21),Soft (23)
Jenson Button,Super soft (6),Soft (19),Soft (26)
Felipe Nasr,Super soft (7),Soft (17),Soft (26)
Romain Grosjean,Super soft (10),Soft (16),Medium (24)
Kevin Magnussen,Super soft (6),Soft (44),
Jolyon Palmer,Super soft (11),Soft (20),Super soft (19)
Esteban Gutierrez,Super soft (8),Soft (21),Super soft (21)
Marcus Ericsson,Soft (16),Super soft (9),Soft (25)
Rio Haryanto,Super soft (1),Soft (48),
Fernando Alonso,Super soft (5),Soft (19),Soft (18)
Pascal Wehrlein,Soft (29),Medium (10),
Carlos Sainz Jnr,Super soft (4),Soft (23),Super soft (4)
Daniil Kvyat,Super soft (5),Soft (1),
