Lewis Hamilton,Ultra soft (21),Soft (33),Soft (17),
Max Verstappen,Super soft (15),Soft (56),,
Kimi Raikkonen,Super soft (22),Soft (49),,
Nico Rosberg,Ultra soft (10),Soft (45),Super soft (16),
Daniel Ricciardo,Super soft (14),Soft (46),Ultra soft (11),
Jenson Button,Ultra soft (9),Soft (17),Soft (45),
Romain Grosjean,Super soft (26),Soft (45),,
Carlos Sainz Jnr,Super soft (9),Soft (19),Soft (43),
Valtteri Bottas,Ultra soft (9),Soft (42),Super soft (19),
Pascal Wehrlein,Ultra soft (13),Ultra soft (10),Soft (47),
Esteban Gutierrez,Super soft (21),Super soft (20),Soft (29),
Jolyon Palmer,Super soft (12),Soft (38),Super soft (20),
Felipe Nasr,Soft (43),Super soft (27),,
Kevin Magnussen,Super soft (11),Soft (38),Super soft (21),
Marcus Ericsson,Super soft (12),Soft (38),Super soft (20),
Rio Haryanto,Soft (27),Super soft (23),Super soft (20),
Sergio Perez,Ultra soft (9),Super soft (17),Soft (43),
Fernando Alonso,Super soft (8),Soft (18),Soft (38),
Nico Hulkenberg,Ultra soft (8),Super soft (16),Soft (26),Ultra soft (14)
Felipe Massa,Super soft (12),Soft (44),Super soft (7),
Sebastian Vettel,Super soft (26),,,
Daniil Kvyat,Ultra soft (1),,,
