Sebastian Vettel,Ultra soft (23),Soft (34),
Lewis Hamilton,Ultra soft (17),Soft (40),
Valtteri Bottas,Ultra soft (25),Soft (32),
Kimi Raikkonen,Ultra soft (26),Soft (31),
Max Verstappen,Ultra soft (25),Super soft (32),
Felipe Massa,Ultra soft (20),Super soft (37),
Sergio Perez,Ultra soft (17),Soft (39),
Carlos Sainz Jnr,Ultra soft (18),Soft (38),
Daniil Kvyat,Ultra soft (34),Super soft (15),Ultra soft (7)
Esteban Ocon,Ultra soft (15),Soft (41),
Nico Hulkenberg,Ultra soft (16),Soft (14),Ultra soft (26)
Antonio Giovinazzi,Soft (15),Super soft (40),
Stoffel Vandoorne,Ultra soft (9),Soft (46),
Fernando Alonso,Ultra soft (16),Super soft (34),
Kevin Magnussen,Soft (1),Super soft (43),Ultra soft (2)
Lance Stroll,Super soft (5),Ultra soft (24),Ultra soft (11)
Daniel Ricciardo,Ultra soft (25),,
Marcus Ericsson,Super soft (21),,
Jolyon Palmer,Soft (15),,
Romain Grosjean,Ultra soft (13),,
