Lewis Hamilton,Super soft (32),Soft (21),
Valtteri Bottas,Super soft (33),Soft (20),
Sebastian Vettel,Super soft (31),Soft (22),
Daniel Ricciardo,Soft (37),Super soft (16),
Kimi Raikkonen,Super soft (15),Soft (38),
Esteban Ocon,Super soft (16),Soft (37),
Lance Stroll,Super soft (17),Soft (36),
Felipe Massa,Super soft (21),Soft (32),
Sergio Perez,Super soft (32),Soft (21),
Max Verstappen,Soft (3),Super soft (24),Super soft (25)
Kevin Magnussen,Super soft (11),Soft (41),
Daniil Kvyat,Super soft (19),Soft (33),
Nico Hulkenberg,Super soft (9),Soft (43),
Carlos Sainz Jnr,Super soft (13),Soft (39),
Romain Grosjean,Super soft (3),Soft (31),Super soft (18)
Pascal Wehrlein,Super soft (20),Soft (31),
Fernando Alonso,Soft (30),Super soft (20),
Marcus Ericsson,Super soft (18),Soft (31),
Stoffel Vandoorne,Super soft (33),,
Jolyon Palmer,Soft (25),Super soft (4),
