Nico Rosberg,Soft (9),Medium (17),Medium (18),
Daniel Ricciardo,Soft (9),Soft (16),Medium (19),
Lewis Hamilton,Medium (9),Soft (12),Soft (11),Medium (12)
Nico Hulkenberg,Super soft (6),Soft (3),Medium (14),
Sergio Perez,Super soft (6),Soft (18),Medium (20),
Sebastian Vettel,Soft (1),Soft (22),Soft (21),
Fernando Alonso,Medium (9),Soft (14),Medium (21),
Valtteri Bottas,Super soft (7),Soft (16),Medium (21),
Kimi Raikkonen,Soft (1),Super soft (4),Soft (19),Medium (20)
Felipe Massa,Super soft (2),Soft (20),Medium (22),
Max Verstappen,Super soft (1),Medium (15),Soft (11),Soft (17)
Esteban Gutierrez,Soft (7),Soft (15),Medium (22),
Romain Grosjean,Soft (6),Soft (17),Medium (21),
Daniil Kvyat,Soft (9),Soft (21),Medium (14),Super soft (9)
Jolyon Palmer,Soft (6),Soft (16),Medium (12),Super soft (10)
Esteban Ocon,Soft (6),Medium (18),Medium (19),
Felipe Nasr,Soft (1),Medium (8),Soft (14),Medium (20)
Kevin Magnussen,Soft (5),,,
Marcus Ericsson,Soft (3),,,
Carlos Sainz Jnr,Soft (1),,,
Jenson Button,Super soft (1),,,
Pascal Wehrlein,Soft (0),,,
