Daniel Ricciardo,Super soft (5),Soft (8),Super soft (9),Super soft (29),
Valtteri Bottas,Super soft (1),Soft (10),Super soft (11),Super soft (29),
Lance Stroll,Super soft (13),Soft (9),Super soft (29),,
Sebastian Vettel,Super soft (12),Soft (10),Super soft (11),,
Lewis Hamilton,Super soft (12),Soft (10),Super soft (9),,
Esteban Ocon,Super soft (12),Soft (8),Super soft (2),Super soft (29),
Kevin Magnussen,Super soft (12),Soft (10),Super soft (29),,
Carlos Sainz Jnr,Super soft (12),Soft (10),Super soft (29),,
Fernando Alonso,Super soft (12),Soft (10),Super soft (29),,
Pascal Wehrlein,Super soft (12),Soft (1),Super soft (4),Super soft (4),
Marcus Ericsson,Soft (12),Super soft (5),Super soft (5),,
Stoffel Vandoorne,Soft (5),Super soft (17),Super soft (11),Super soft (18),
Romain Grosjean,Soft (3),Super soft (11),Super soft (8),Super soft (14),Super soft (14)
Kimi Raikkonen,Super soft (12),Soft (8),Super soft (26),,
Sergio Perez,Super soft (12),Soft (8),Super soft (19),,
Felipe Massa,Super soft (12),Soft (10),Super soft (3),,
Nico Hulkenberg,Super soft (13),Soft (9),Super soft (2),,
Max Verstappen,Super soft (12),,,,
Daniil Kvyat,Super soft (9),,,,
Jolyon Palmer,Super soft (7),,,,
