Lewis Hamilton,Wet (20),Wet (8),Wet (43),,,
Nico Rosberg,Wet (20),Wet (8),Wet (43),,,
Max Verstappen,Wet (13),Intermediate (7),Wet (8),Wet (15),Intermediate (11),Wet (17)
Sergio Perez,Wet (20),Wet (8),Wet (43),,,
Sebastian Vettel,Wet (10),Intermediate (10),Wet (8),Wet (43),,
Carlos Sainz Jnr,Wet (20),Wet (8),Wet (43),,,
Nico Hulkenberg,Wet (20),Wet (2),Wet (6),Wet (43),,
Daniel Ricciardo,Wet (13),Intermediate (7),Wet (8),Wet (12),Intermediate (12),Wet (19)
Felipe Nasr,Wet (20),Wet (8),Wet (43),,,
Fernando Alonso,Wet (9),Intermediate (11),Wet (8),Wet (43),,
Valtteri Bottas,Wet (9),Intermediate (11),Wet (8),Wet (10),Intermediate (33),
Esteban Ocon,Wet (20),Wet (8),Wet (43),,,
Daniil Kvyat,Wet (9),Intermediate (8),Intermediate (3),Wet (8),Wet (43),
Kevin Magnussen,Wet (7),Intermediate (13),Wet (8),Wet (13),Intermediate (30),
Pascal Wehrlein,Wet (20),Wet (8),Wet (24),Wet (19),,
Jenson Button,Wet (8),Intermediate (12),Wet (8),Wet (6),Intermediate (10),Wet (27)
Esteban Gutierrez,Wet (12),Intermediate (8),Wet (8),Wet (32),Wet,
Felipe Massa,Wet (9),Intermediate (11),Wet (8),Wet (3),Intermediate (15),
Jolyon Palmer,Wet (9),Intermediate (8),Wet (3),,,
Kimi Raikkonen,Wet (19),,,,,
Marcus Ericsson,Wet (9),Intermediate (2),,,,
